"verb","polarity","tense","elpd_loo","p_loo","looic","se_elpd_loo","se_p_loo","se_looic"
apologize,negative,future,58.8303604416268,1.74824737620303,-117.660720883254,21.5983335766153,0.373251134633591,43.1966671532307
apologize,negative,past,38.6929438378035,1.95735306193875,-77.385887675607,18.8400367766866,0.735725153606441,37.6800735533733
apologize,positive,future,70.4013529823908,1.18568248535236,-140.802705964782,22.3173326709551,0.451150719132651,44.6346653419101
apologize,positive,past,77.6291787405378,1.23374329755864,-155.258357481076,22.5295447871063,0.248478447781504,45.0590895742127
boast,negative,future,53.265593252853,2.45222959319165,-106.531186505706,19.5077064640981,0.750962184999617,39.0154129281962
boast,negative,past,45.6053809982763,3.35682101260686,-91.2107619965526,18.1031130926742,1.50979025167826,36.2062261853484
boast,positive,future,99.1006731956741,3.32538907105458,-198.201346391348,24.3626592921456,1.26323450701568,48.7253185842912
boast,positive,past,96.712037399233,3.10639051851161,-193.424074798466,23.6298269485075,1.20573461959388,47.2596538970151
complain,negative,future,6.62173899811282,4.56810726247674,-13.2434779962256,11.0028304508716,2.41191571222477,22.0056609017432
complain,negative,past,57.915419329195,2.09700790606535,-115.83083865839,20.0408035920143,0.431331126912769,40.0816071840287
complain,positive,future,37.8224739505471,5.47575837226171,-75.6449479010941,20.609641472625,1.66505764747582,41.2192829452501
complain,positive,past,63.2083222415615,3.41210229655667,-126.416644483123,22.735543757574,1.26526063879552,45.4710875151481
congratulate,negative,future,38.6288371491429,2.74117968866113,-77.2576742982857,18.1432307863636,1.26554269987787,36.2864615727272
congratulate,negative,past,79.3172303399882,2.17699722370646,-158.634460679976,21.8098330401182,0.606321843904367,43.6196660802363
congratulate,positive,future,32.2387577772116,3.13856661294209,-64.4775155544232,17.6584456131861,1.31963390234443,35.3168912263723
congratulate,positive,past,70.4247282956638,3.46469880613824,-140.849456591328,21.6234284216683,1.3945173134409,43.2468568433366
convince,negative,future,37.1001620431296,1.4117117594469,-74.2003240862591,18.0456899423868,0.291784390931339,36.0913798847736
convince,negative,past,30.3651193345656,2.09520228993608,-60.7302386691313,18.4509622369347,0.527533223440068,36.9019244738694
convince,positive,future,52.5394978987715,0.875767845593191,-105.078995797543,18.0032069475109,0.119625195523054,36.0064138950218
convince,positive,past,49.7889859637716,1.87542213040107,-99.5779719275432,19.4946901383982,0.897010370820622,38.9893802767964
disprove,negative,future,45.6844447370595,2.54151556853493,-91.3688894741189,18.7029247772212,1.43425413188701,37.4058495544423
disprove,negative,past,39.3112107707094,4.8732073555789,-78.6224215414188,21.285216634399,3.85164996530524,42.570433268798
disprove,positive,future,26.8952589961205,1.74444629089733,-53.790517992241,15.6355314855019,0.618967892112649,31.2710629710038
disprove,positive,past,47.6383872381536,2.1538035437845,-95.2767744763071,20.1265695419973,0.981532296788,40.2531390839947
dissuade,negative,future,57.0119914268386,2.84249493287469,-114.023982853677,20.492929591372,1.00693580136214,40.9858591827441
dissuade,negative,past,7.046411639393,2.22989833753405,-14.092823278786,13.9465844809159,0.528680183423313,27.8931689618319
dissuade,positive,future,30.7324682263906,6.158806407981,-61.4649364527813,17.477675520124,3.5047224840699,34.955351040248
dissuade,positive,past,32.7130159869306,3.62034552101351,-65.4260319738611,16.754587432628,1.24920787917216,33.5091748652559
doubt,negative,future,85.3469317247044,1.09041936860957,-170.693863449409,22.4784102867302,0.163867712839737,44.9568205734604
doubt,negative,past,59.7176630961681,1.45077166517949,-119.435326192336,20.2596264135865,0.304401980132311,40.519252827173
doubt,positive,future,55.5022473236505,1.09051137087565,-111.004494647301,22.4783030264322,0.165113359105148,44.9566060528643
doubt,positive,past,31.0117557978263,1.02061675595457,-62.0235115956527,17.6133307379477,0.142579590882573,35.2266614758954
fear,negative,future,52.0996673416659,1.81890168048324,-104.199334683332,18.7141781639855,0.611596785524565,37.4283563279709
