"verb","polarity","tense","elpd_loo","p_loo","looic","se_elpd_loo","se_p_loo","se_looic"
apologize,negative,future,-1.62941022558109,0.608523889736258,3.25882045116218,6.84405108967237,0.14470643988283,13.6881021793447
apologize,negative,past,55.08801987413,3.55616973114308,-110.17603974826,17.3288196775599,1.16475725381493,34.6576393551198
apologize,positive,future,9.28604351924199,2.33243811408845,-18.572087038484,10.0557639638571,0.841926527626416,20.1115279277142
apologize,positive,past,53.0558666078082,2.61945228064219,-106.111733215616,18.1289364772019,1.3121757276702,36.2578729544038
boast,negative,future,8.86597276712307,2.04366842835984,-17.7319455342461,9.53087645524333,1.22843255403653,19.0617529104867
boast,negative,past,34.6498773967975,3.68184434125185,-69.299754793595,13.7115378596629,1.18754255112352,27.4230757193259
boast,positive,future,95.3827314199414,1.36281159827469,-190.765462839883,21.1641405262586,0.511767515426579,42.3282810525172
boast,positive,past,148.724420189268,1.41727016012318,-297.448840378536,23.6364973380064,0.528099764603574,47.2729946760128
complain,negative,future,7.24802155057194,2.69215569165466,-14.4960431011439,7.85231063803709,1.33323243510106,15.7046212760742
complain,negative,past,64.4509681788988,2.31259174199164,-128.901936357798,19.7408943199495,0.771464583130005,39.4817886398989
complain,positive,future,59.2214810479778,1.27177783538408,-118.442962095956,19.8562430386973,0.254466394469262,39.7124860773945
complain,positive,past,107.921180028617,1.26368019903661,-215.842360057234,23.1632588861996,0.346365465484072,46.3265177723993
congratulate,negative,future,16.6695817880147,1.95305074287156,-33.3391635760293,11.7192249937017,0.859893375980278,23.4384499874035
congratulate,negative,past,4.83279929316019,1.23812096430159,-9.66559858632039,7.44946510786052,0.277051567437264,14.898930215721
congratulate,positive,future,18.819932034062,1.13958943861306,-37.639864068124,12.7051735743727,0.315562240689276,25.4103471487453
congratulate,positive,past,108.153959626296,1.81561933421654,-216.307919252592,22.7642381432997,0.687456308299121,45.5284762865994
convince,negative,future,27.636592590965,1.62620066957308,-55.2731851819299,15.5984589403713,0.617223823267749,31.1969178807426
convince,negative,past,50.2571431880766,3.82832960810686,-100.514286376153,16.721960488014,1.75251459630856,33.443920976028
convince,positive,future,79.5403648885842,3.6125101708243,-159.080729777168,20.992028275407,1.36776848803691,41.984056550814
convince,positive,past,70.9799137302708,2.64782755919274,-141.959827460542,18.1817955372191,0.940079057883576,36.3635910744381
disprove,negative,future,9.99445910401605,1.24823974689956,-19.9889182080321,7.6043226557026,0.642838600325564,15.2086453114052
disprove,negative,past,24.1543428966425,1.99725665709342,-48.3086857932851,13.2652700785952,0.746461167204623,26.5305401571904
disprove,positive,future,13.5313666168705,4.77706139434101,-27.062733233741,11.1663489785968,1.78514249399567,22.3326979571937
disprove,positive,past,30.3375329434701,6.16176051477688,-60.6750658869402,15.3106114162751,2.25880657980646,30.6212228325503
dissuade,negative,future,31.4070743233817,4.52083919970901,-62.8141486467634,14.2393874744849,2.34756622448365,28.4787749489697
dissuade,negative,past,31.3076792727419,2.11326085030714,-62.6153585454837,15.4985737068214,0.514671983499121,30.9971474136428
dissuade,positive,future,17.6877624929475,3.10345394989607,-35.375524985895,10.4993299680591,0.922696741407495,20.9986599361182
dissuade,positive,past,25.6562354123089,1.20095481203151,-51.3124708246178,12.9751040674563,0.295111228866191,25.9502081349127
doubt,negative,future,85.7074912673797,1.23488019402418,-171.414982534759,19.3436408504017,0.5036448509111,38.6872817008033
doubt,negative,past,100.196870864842,1.72201243205146,-200.393741729684,22.8380692257851,0.554126779416527,45.6761384515702
doubt,positive,future,59.1390976967285,2.17103894307234,-118.278195393457,17.5897422937695,0.585228021402197,35.179484587539
doubt,positive,past,85.6087142416108,1.95795322126838,-171.217428483222,20.5638375194352,0.592347653796557,41.1276750388704
fear,negative,future,1.49867344874529,0.904150873280221,-2.99734689749058,6.29502569297512,0.264584852598578,12.5900513859502
fear,negative,past,52.2333973644753,4.35786006231157,-104.466794728951,16.8855353111172,1.18190172696242,33.7710706222344
fear,positive,future,2.04688800030678,0.80725895303107,-4.09377600061356,7.72619796815216,0.141513293755214,15.4523959363043
fear,positive,past,11.0858673618186,3.37961803595695,-22.1717347236373,10.7133929832334,2.51010259038568,21.4267859664668
