"verb","polarity","tense","elpd_loo","p_loo","looic","se_elpd_loo","se_p_loo","se_looic"
apologize,negative,future,27.9549934264629,2.50089717852089,-55.9099868529258,12.9164100232489,0.750895958201845,25.8328200464978
apologize,negative,past,5.68825948196673,1.36873296114756,-11.3765189639335,6.08034078161448,0.456302713412041,12.160681563229
apologize,positive,future,81.4210957628349,1.52906836271297,-162.84219152567,20.0265872476919,0.420193445642851,40.0531744953837
apologize,positive,past,109.228214815573,3.36119753551084,-218.456429631146,20.7675227903238,1.07876667479806,41.5350455806475
boast,negative,future,-2.20252549533923,0.913445308552406,4.40505099067846,1.98032389570255,0.321950191407569,3.96064779140509
boast,negative,past,2.10907823711256,10.0724847778904,-4.21815647422512,10.3275537887064,5.7397054456458,20.6551075774128
boast,positive,future,75.7124785882781,1.49947482148077,-151.424957176556,21.6436160982927,0.290332576317193,43.2872321965853
boast,positive,past,95.7586848259592,2.53669698265663,-191.517369651918,18.8602206175159,1.33441197736327,37.7204412350319
complain,negative,future,10.3193269104357,4.9680381880755,-20.6386538208715,9.49046730819687,2.5846739902498,18.9809346163937
complain,negative,past,7.3643120395154,2.19518094908843,-14.7286240790308,7.72892022683738,1.0547867288914,15.4578404536748
complain,positive,future,98.0194903329765,2.03159533671438,-196.038980665953,20.5148268647153,0.612121582421131,41.0296537294306
complain,positive,past,125.774059306989,1.73995910261803,-251.548118613978,22.8498717658794,0.460431650017182,45.6997435317589
congratulate,negative,future,5.57224878732707,6.53248839195117,-11.1444975746541,8.83406121148959,4.48083381897811,17.6681224229792
congratulate,negative,past,16.1255801431231,10.2638102413581,-32.2511602862462,13.6275692746607,3.85213013252327,27.2551385493215
congratulate,positive,future,91.4482358957625,2.96377794315072,-182.896471791525,21.1867280122229,0.849822552251038,42.3734560244459
congratulate,positive,past,65.961708132381,1.37175314449211,-131.923416264762,17.1352558767846,0.528709279217916,34.2705117535692
convince,negative,future,4.15047547003555,1.11265971557406,-8.3009509400711,5.06449473752114,0.559591992794349,10.1289894750423
convince,negative,past,22.8392099702006,1.82435053988424,-45.6784199404012,11.8144214093765,0.795981490511847,23.628842818753
convince,positive,future,1.9356052722914,1.22996341747127,-3.8712105445828,4.50716517339102,0.681897111478574,9.01433034678204
convince,positive,past,2.93747566570167,1.53845419801949,-5.87495133140335,6.76457373794714,0.668602782205416,13.5291474758943
disprove,negative,future,0.516326051542766,3.74874100629117,-1.03265210308553,5.24374946772673,2.55606069857962,10.4874989354535
disprove,negative,past,10.0528687932425,1.16065614799474,-20.105737586485,8.92933127294141,0.37201234571978,17.8586625458828
disprove,positive,future,-2.36527521331445,0.623190786201482,4.73055042662891,1.93847244386123,0.115307570599707,3.87694488772245
disprove,positive,past,3.94171598824234,0.567984632321366,-7.88343197648467,7.5316037873075,0.130164023203822,15.063207574615
dissuade,negative,future,-0.844319611156239,2.4687548156902,1.68863922231248,3.6934136072415,1.2770816298599,7.386827214483
dissuade,negative,past,13.6974692547043,1.8852054073879,-27.3949385094087,9.07305326260049,0.894375076884801,18.146106525201
dissuade,positive,future,-0.164698628952073,1.0427606832211,0.329397257904146,5.07840183884853,0.51865044846391,10.1568036776971
dissuade,positive,past,4.48715401000658,0.99594105748946,-8.97430802001315,4.80597488883237,0.465781085450938,9.61194977766474
doubt,negative,future,5.72689667660553,1.73674680246636,-11.4537933532111,7.10447931855097,0.998932280839695,14.2089586371019
doubt,negative,past,3.40370504307283,1.07365709178398,-6.80741008614566,5.10239865919754,0.59298492663329,10.2047973183951
doubt,positive,future,-1.6857372871827,0.414830796179443,3.37147457436539,2.02280423422829,0.0354950388380582,4.04560846845658
doubt,positive,past,11.3064688148044,2.5894290768284,-22.6129376296087,8.85169278729739,1.59704358491182,17.7033855745948
fear,negative,future,3.05456326211875,0.727849309359087,-6.10912652423749,6.96612804293214,0.173807948185549,13.9322560858643
fear,negative,past,-1.71647659658176,0.516372693083735,3.43295319316352,1.69241935469455,0.0631655013643454,3.3848387093891
fear,positive,future,162.650984335953,4.92567030241539,-325.301968671906,26.2779492865117,3.59599393327829,52.5558985730234
fear,positive,past,154.646382242106,2.55569726861642,-309.292764484212,24.6273948823057,1.20515526289984,49.2547897646114
hate,negative,future,7.69120873098231,1.10069679412731,-15.3824174619646,6.90761037683458,0.331658187188017,13.8152207536692
hate,negative,past,14.8916947031531,1.57358434562743,-29.7833894063062,10.8137960267619,0.639392314555507,21.6275920535238
hate,positive,future,206.654168439446,0.889192238183135,-413.308336878893,24.694697087253,0.20531496314387,49.389394174506
hate,positive,past,196.175750006903,0.906486318858627,-392.351500013806,24.0979509054356,0.267084067902649,48.1959018108711
hope,negative,future,109.27043474595,2.41611695192421,-218.540869491901,22.3212986857428,0.647130511341936,44.6425973714857
hope,negative,past,73.9335432557781,1.2052853770871,-147.867086511556,18.7485580446498,0.22923289642743,37.4971160892996
hope,positive,future,166.393936114215,1.42063303071048,-332.78787222843,22.3567082001125,0.365367947257699,44.7134164002249
hope,positive,past,180.437026006634,0.975658367760695,-360.874052013268,24.5281242674608,0.215523965780957,49.0562485349215
know,negative,future,2.06008942558397,1.86789135790868,-4.12017885116794,4.21956455934522,1.07000317851333,8.43912911869045
know,negative,past,-1.19776721766235,1.16341471966999,2.3955344353247,4.73638852345894,0.68471643492012,9.47277704691788
know,positive,future,17.4597452886126,1.40473593784766,-34.9194905772252,10.729096498756,0.736067202230512,21.4581929975121
know,positive,past,2.71120195702364,1.15027754505483,-5.42240391404729,5.36898486645097,0.487033398294338,10.7379697329019
lie,negative,future,-2.16595508535979,0.475955723770209,4.33191017071958,1.78075516261358,0.0496417389720209,3.56151032522716
lie,negative,past,3.53549181737126,0.640047312484773,-7.07098363474251,7.24801949493097,0.126570554247255,14.4960389898619
lie,positive,future,10.9379285176417,2.73469644907574,-21.8758570352833,7.44812943821974,1.32472419562995,14.8962588764395
lie,positive,past,5.09303583296146,4.24949545578484,-10.1860716659229,5.72289386149145,1.9623505161857,11.4457877229829
like,negative,future,157.528144445935,2.21976982398319,-315.056288891869,25.4996856325916,0.505088674922779,50.9993712651832
like,negative,past,140.646695183549,6.26569797210702,-281.293390367098,26.3465452962939,4.71686169470537,52.6930905925877
like,positive,future,144.340538414379,0.957933679136849,-288.681076828758,23.918271958532,0.212719568398162,47.836543917064
like,positive,past,143.400152105843,0.988333370493101,-286.800304211687,23.8904179816841,0.219531023150551,47.7808359633681
love,negative,future,94.8491544468811,1.30314085123896,-189.698308893762,21.0606270108231,0.213337194938163,42.1212540216461
love,negative,past,74.3513513042782,2.7252114667814,-148.702702608556,19.2249640617447,0.785132843250592,38.4499281234893
love,positive,future,208.602837825887,0.890488764721232,-417.205675651774,24.2388248773005,0.184623598423259,48.4776497546009
love,positive,past,189.039686886034,0.893840786428846,-378.079373772069,23.1885429757555,0.207059850916088,46.3770859515111
mislead,negative,future,3.9743128481847,2.25781233098362,-7.94862569636939,5.34463901868468,1.26875858876846,10.6892780373694
mislead,negative,past,-2.18517438554182,0.627180505036543,4.37034877108365,1.76270466338435,0.0899704438725704,3.52540932676871
mislead,positive,future,6.8887771289836,1.5547365555497,-13.7775542579672,7.05794972233353,0.72993512788797,14.1158994446671
mislead,positive,past,6.90367004720312,1.66744294709448,-13.8073400944062,7.91948790481863,0.936926675361164,15.8389758096373
