"verb","polarity","tense","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
apologize,negative,future,26.9571571890802,1.68891687218375,-53.9143143781603,13.5841409797866,0.481366094917314,27.1682819595731
apologize,negative,past,4.27427367347968,0.909425651013521,-8.54854734695935,6.68074586487821,0.277624466830949,13.3614917297564
apologize,positive,future,79.7751916969254,1.54200386337573,-159.550383393851,19.6737902879507,0.494521564901638,39.3475805759013
apologize,positive,past,109.117101285267,2.99471555051173,-218.234202570534,21.0503941758755,0.976678331548507,42.100788351751
boast,negative,future,-5.06820101939517,0.660037347778974,10.1364020387903,2.00410113881901,0.218896051381751,4.00820227763802
boast,negative,past,5.98440976682254,7.01545452678688,-11.9688195336451,9.9606233684627,4.00936165983129,19.9212467369254
boast,positive,future,78.7153516814084,1.09771181372654,-157.430703362817,21.4523036305133,0.263703022848228,42.9046072610266
boast,positive,past,95.4425405931386,1.97021719641043,-190.885081186277,18.9775007281557,0.929744164018493,37.9550014563115
complain,negative,future,11.0079227447004,2.90120603228776,-22.0158454894007,10.601939214203,1.38143662851627,21.203878428406
complain,negative,past,5.83142755732702,1.3209039577771,-11.662855114654,8.85732885292625,0.551040433586977,17.7146577058525
complain,positive,future,94.948526195562,2.23845083819414,-189.897052391124,19.9763062455621,0.700824437668212,39.9526124911243
complain,positive,past,124.885749448393,1.73897593580666,-249.771498896786,22.7336364037692,0.509890655822616,45.4672728075383
congratulate,negative,future,3.20194666796534,5.38742557700307,-6.40389333593067,7.85830111353091,3.69303221424371,15.7166022270618
congratulate,negative,past,21.4817695191797,7.49223372222112,-42.9635390383595,13.5766818931161,2.90896108978997,27.1533637862322
congratulate,positive,future,90.5340073589294,2.7987634168772,-181.068014717859,20.9427285046008,0.906287226208694,41.8854570092015
congratulate,positive,past,64.6826287941542,1.13692832370611,-129.365257588308,17.4002478952206,0.40853042579304,34.8004957904411
convince,negative,future,0.541603658199805,0.767180998531251,-1.08320731639961,5.73937278299385,0.318315481593035,11.4787455659877
convince,negative,past,20.5024036229172,1.33889724972408,-41.0048072458344,12.2423242651894,0.502640934610353,24.4846485303787
convince,positive,future,-1.20653725494555,0.984161955260621,2.41307450989111,5.15914901497169,0.515402171704098,10.3182980299434
convince,positive,past,0.173278448750929,1.4347113130224,-0.346556897501857,7.27317840757891,0.613380921120975,14.5463568151578
disprove,negative,future,-0.647531250964279,2.50396109522568,1.29506250192856,5.64693754923417,1.60076100711502,11.2938750984683
disprove,negative,past,6.76896579387864,1.026075085594,-13.5379315877573,9.08347416939399,0.339248407272609,18.166948338788
disprove,positive,future,-6.29311356674266,0.52394273083516,12.5862271334853,1.96955654878516,0.0820019948719299,3.93911309757031
disprove,positive,past,0.101985089735081,0.553230263093364,-0.203970179470162,7.63758169461163,0.121249054695378,15.2751633892233
dissuade,negative,future,-2.34331332023681,1.61667663957843,4.68662664047362,3.912217065855,0.910173920909134,7.82443413171
dissuade,negative,past,12.5413337537174,1.24385629871288,-25.0826675074349,10.3021646890523,0.485210285240111,20.6043293781045
dissuade,positive,future,-3.00766318229503,0.746960613942765,6.01532636459006,5.85335430697983,0.30872524062798,11.7067086139597
dissuade,positive,past,1.64815397279017,0.891690378422783,-3.29630794558034,5.40200487216676,0.387862535929398,10.8040097443335
doubt,negative,future,2.05798106877714,1.51165365874459,-4.11596213755428,7.11446969440474,0.876322321986626,14.2289393888095
doubt,negative,past,-1.31800426687489,1.11623845246984,2.63600853374978,4.77499753414573,0.699826195578003,9.54999506829146
doubt,positive,future,-6.01551619951455,0.38273102967484,12.0310323990291,1.99585742988989,0.0335099775928076,3.99171485977978
doubt,positive,past,9.06591451837186,2.32322292717162,-18.1318290367437,9.61988326797164,1.49586712557328,19.2397665359433
fear,negative,future,0.400147803960613,0.507646123514357,-0.800295607921225,7.1169775435995,0.0918558696541402,14.233955087199
fear,negative,past,-5.9894678876097,0.423699479221904,11.9789357752194,1.85173022475305,0.0452989427132211,3.7034604495061
fear,positive,future,163.49380317656,4.10409291329158,-326.98760635312,25.1667555645594,2.7767944354765,50.3335111291189
fear,positive,past,153.909085895497,2.75084634411048,-307.818171790994,24.1803589953168,1.2627286761928,48.3607179906336
hate,negative,future,3.70244811051925,0.728488965424584,-7.4048962210385,7.89500222874345,0.139596028130182,15.7900044574869
hate,negative,past,12.3147908582254,1.0809133966414,-24.6295817164509,11.9361112966444,0.413490361878977,23.8722225932887
hate,positive,future,206.995082734098,0.754559287348988,-413.990165468196,24.5357383777034,0.160841621302633,49.0714767554068
hate,positive,past,195.198079285,1.07329962289252,-390.39615857,23.727379719791,0.319873063747528,47.454759439582
hope,negative,future,110.167341580249,1.68333959342314,-220.334683160498,22.4202254811681,0.563497131549858,44.8404509623362
hope,negative,past,71.1113460610284,1.17827099021212,-142.222692122057,18.537578660171,0.3035724967746,37.075157320342
hope,positive,future,165.517136920711,1.16834292093928,-331.034273841421,22.6714767015018,0.270543420908725,45.3429534030036
hope,positive,past,179.793760957432,1.15174936658654,-359.587521914864,23.9046537852001,0.33219318313789,47.8093075704001
know,negative,future,-1.17786955295821,1.49625410137256,2.35573910591642,4.38226402553688,0.897513539594787,8.76452805107377
know,negative,past,-3.22894620883464,0.76308078834766,6.45789241766928,5.93940507249375,0.333804151629581,11.8788101449875
know,positive,future,15.0344121624975,1.0948752280274,-30.0688243249949,11.2438522613975,0.471223926226381,22.4877045227949
know,positive,past,-0.237052524405198,0.916691075451344,0.474105048810396,5.83329199889294,0.374593297819028,11.6665839977859
lie,negative,future,-6.98944814914835,0.398858000063697,13.9788962982967,1.93758263755837,0.0348418427637291,3.87516527511674
lie,negative,past,-0.612517706550105,0.569100083356059,1.22503541310021,7.53664111017844,0.0928482903438711,15.0732822203569
lie,positive,future,10.2109963972503,2.15484101784604,-20.4219927945006,8.3578129332666,1.03804436059991,16.7156258665332
lie,positive,past,6.89511352580699,3.18401847732104,-13.790227051614,6.99100130457189,1.38487901856783,13.9820026091438
like,negative,future,157.586531023847,1.85291094854555,-315.173062047694,25.1669109327755,0.5144899996809,50.3338218655511
like,negative,past,140.990400976583,5.36811186436322,-281.980801953166,25.4892309813051,3.88086731908342,50.9784619626102
like,positive,future,141.590178989582,0.746287176705101,-283.180357979163,24.7037861229617,0.138371190841795,49.4075722459234
like,positive,past,142.591689471606,1.046925021349,-285.183378943211,23.7516602949373,0.259529913746187,47.5033205898746
love,negative,future,93.6380437887308,0.894198948782474,-187.276087577462,21.5059930971847,0.170233498224019,43.0119861943694
love,negative,past,73.5427964248133,2.24408974079229,-147.085592849627,19.6048539530091,0.696640498773271,39.2097079060182
love,positive,future,208.004072216357,0.859305119282046,-416.008144432715,23.9589803541207,0.181018792317144,47.9179607082415
love,positive,past,188.191312094321,0.940447389301348,-376.382624188643,23.0331399306828,0.229267348698631,46.0662798613656
mislead,negative,future,2.10257759232426,1.60716590803412,-4.20515518464851,6.26901228336612,0.912215768665365,12.5380245667322
mislead,negative,past,-5.63655887186253,0.478111005976694,11.2731177437251,1.8383843701204,0.0441245690861902,3.6767687402408
mislead,positive,future,5.34082316784177,1.01043748253656,-10.6816463356835,8.62114395605538,0.381426785921988,17.2422879121108
mislead,positive,past,5.22798461417924,1.28548013107894,-10.4559692283585,8.56037084766716,0.610624860730898,17.1207416953343
notify,negative,future,-0.280589139377155,0.450562757938225,0.561178278754309,7.1600768139369,0.080570936881636,14.3201536278738
