listid,participant,verb,subject,target,consequent,polarity,tense,valence,question,transitivity,response,task,scenario
10,252,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.19,templatic,
10,362,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.26,templatic,
10,312,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.03,templatic,
10,268,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.7,templatic,
10,295,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.07,templatic,
10,183,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.34,templatic,
10,263,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.26,templatic,
10,109,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,1e-05,templatic,
10,149,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.5,templatic,
10,311,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.06,templatic,
18,254,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.21,templatic,
18,331,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.18,templatic,
18,243,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,1e-05,templatic,
18,418,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.07,templatic,
18,267,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.5,templatic,
18,253,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.89,templatic,
18,204,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.25,templatic,
18,387,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.51,templatic,
18,377,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.29,templatic,
18,217,persuade,A,object,believe,negative,future,neutral,A didn't persuade B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.19,templatic,
9,380,persuade,A,object,believe,positive,future,neutral,A persuaded B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.9,templatic,
9,180,persuade,A,object,believe,positive,future,neutral,A persuaded B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.91,templatic,
9,157,persuade,A,object,believe,positive,future,neutral,A persuaded B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.68,templatic,
9,227,persuade,A,object,believe,positive,future,neutral,A persuaded B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.92,templatic,
9,216,persuade,A,object,believe,positive,future,neutral,A persuaded B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.9,templatic,
9,280,persuade,A,object,believe,positive,future,neutral,A persuaded B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.23,templatic,
9,358,persuade,A,object,believe,positive,future,neutral,A persuaded B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.8,templatic,
9,299,persuade,A,object,believe,positive,future,neutral,A persuaded B that C would happen.How likely is it thatB believed that C would happen?,transitive,0.55,templatic,
