"verb","polarity","tense","best_model","elpd_diff","se_elpd_diff"
"worry","positive","past","slopes","-0.452861382007827","1.32550277374144"
"worry","positive","future","intercepts","-0.577825302730001","2.8018787195679"
"worry","negative","past","slopes","-3.22283154931541","1.33463775300918"
"worry","negative","future","intercepts","-0.934092817063272","4.52148562915448"
"wish","positive","past","slopes","-1.97988584619119","1.06168107156443"
"wish","positive","future","intercepts","-0.198644923691671","1.43489978562369"
"wish","negative","past","slopes","-0.983670120762222","1.837420945354"
"wish","negative","future","intercepts","-1.09415077306456","2.97705799820823"
"think","positive","past","slopes","-6.05770953029445","1.42696350341911"
"think","positive","future","slopes","-2.90057512960393","3.02283454488952"
"think","negative","past","slopes","-3.06127149691465","2.05819109648502"
"think","negative","future","slopes","-5.35926761549165","0.942888617047221"
"tell","positive","past","slopes","-6.76948687714715","1.05695820267566"
"tell","positive","future","slopes","-5.96134769766391","0.97666829144038"
"tell","negative","past","slopes","-3.58876539249196","2.17935111146359"
"tell","negative","future","slopes","-6.88490423807418","1.02014541959706"
"remember","positive","past","slopes","-7.67134968832034","1.22259341286643"
"remember","positive","future","slopes","-7.21616791494788","1.10099892811316"
"remember","negative","past","slopes","-6.39679929446589","0.956214826722754"
"remember","negative","future","slopes","-6.08786242409598","0.809396156538734"
"regret","positive","past","intercepts","-0.789756738215936","1.44396268591614"
"regret","positive","future","slopes","-0.46953897071629","1.10688727993482"
"regret","negative","past","slopes","-2.26212643610205","2.24346050199884"
"regret","negative","future","slopes","-5.47352797968764","1.47085917605549"
"persuade","positive","past","slopes","-7.0158467403768","1.18125562806974"
"persuade","positive","future","slopes","-3.34645232249838","2.73963026471663"
"persuade","negative","past","slopes","-6.56949836577325","0.925822822326176"
"persuade","negative","future","slopes","-5.47946877434178","0.972854006932373"
"notify","positive","past","slopes","-7.12130128521754","0.915400013993082"
"notify","positive","future","slopes","-5.29677240170342","1.44274090046961"
"notify","negative","past","slopes","-6.45515875188941","0.969754775658076"
"notify","negative","future","slopes","-7.05303728892127","1.07233821167626"
"mislead","positive","past","slopes","-2.05238241065364","2.85998556611866"
"mislead","positive","future","slopes","-1.10600076969334","3.93103795047339"
"mislead","negative","past","slopes","-5.13038314561965","1.02792216871243"
"mislead","negative","future","slopes","-2.65686781302827","3.15028196266182"
"love","positive","past","slopes","-0.698518633278644","0.925836262609536"
"love","positive","future","slopes","-0.404223663921968","1.31228170443639"
"love","negative","past","slopes","-0.62236434467733","1.87542568108541"
"love","negative","future","slopes","-1.4217181796822","1.7566449937797"
"like","positive","past","slopes","-1.24834007565417","1.72494475408875"
"like","positive","future","slopes","-3.27772271214318","1.72274452634553"
"like","negative","past","intercepts","-1.69773704118035","2.88061327253738"
"like","negative","future","intercepts","-2.36983895836336","1.69754238515219"
"lie","positive","past","intercepts","-2.50658389589524","3.98586592747001"
"lie","positive","future","slopes","-2.04055268283337","1.56083659180565"
"lie","negative","past","slopes","-6.46115077807709","1.13304463550886"
"lie","negative","future","slopes","-7.50126938949528","0.974324350024206"
"know","positive","past","slopes","-4.38343659073929","1.7352158720941"
"know","positive","future","slopes","-4.00134318647754","2.01791110593947"
"know","negative","past","slopes","-3.10684520537996","3.05899988334238"
"know","negative","future","slopes","-4.55489456780954","1.1168041578872"
"hope","positive","past","intercepts","-1.59383941216822","1.67200259542604"
"hope","positive","future","slopes","-1.10906329146171","1.00176061040059"
"hope","negative","past","slopes","-4.24787151432153","1.43186664848934"
"hope","negative","future","intercepts","-2.84805320900115","2.25835054013183"
"hate","positive","past","slopes","-2.49305649928028","1.02528778992118"
"hate","positive","future","intercepts","-1.42932573747119","1.32123422523057"
"hate","negative","past","slopes","-4.03548413424306","2.13946181374997"
"hate","negative","future","slopes","-6.39149814794611","1.72908316752305"
"fear","positive","past","intercepts","-1.15853682307865","1.65130500357496"
"fear","positive","future","intercepts","-1.61248712857936","3.00418508672819"
"fear","negative","past","slopes","-6.59669224033679","0.953430442295042"
"fear","negative","future","slopes","-4.63941790665272","1.58513201502059"
"doubt","positive","past","slopes","-3.9505293614085","2.04690946497465"
"doubt","positive","future","slopes","-7.40710121009588","0.836672728301606"
"doubt","negative","past","slopes","-7.04467873979231","0.85135505033481"
"doubt","negative","future","slopes","-6.60456580408081","1.06365517225867"
