listid,participant,verb,subject,target,consequent,polarity,tense,valence,question,transitivity,response,task,scenario
4,310,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.9,contentful,executive-know
4,419,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.88,contentful,executive-know
4,107,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.97,contentful,executive-know
4,359,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.81,contentful,executive-know
4,408,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.9,contentful,executive-know
4,259,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.71,contentful,executive-know
4,286,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.83,contentful,executive-know
4,376,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.64,contentful,executive-know
4,174,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.96,contentful,executive-know
4,199,know,executive,subject,want,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.99999,contentful,executive-know
27,374,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.66,contentful,executive-know
27,238,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.16,contentful,executive-know
27,397,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.29,contentful,executive-know
27,356,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.5,contentful,executive-know
27,198,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.5,contentful,executive-know
27,291,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.99999,contentful,executive-know
27,122,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.64,contentful,executive-know
27,226,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.99,contentful,executive-know
27,401,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.78,contentful,executive-know
27,300,know,executive,subject,want,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive wanted his deal to go through?,intransitive,0.55,contentful,executive-know
22,365,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.5,contentful,executive-know
22,209,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.99999,contentful,executive-know
22,337,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.99999,contentful,executive-know
22,244,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.82,contentful,executive-know
22,112,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.74,contentful,executive-know
22,171,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.93,contentful,executive-know
22,271,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.5,contentful,executive-know
22,405,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.66,contentful,executive-know
22,281,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.99999,contentful,executive-know
22,140,know,executive,subject,want,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.51,contentful,executive-know
26,104,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.64,contentful,executive-know
26,195,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.49,contentful,executive-know
26,176,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.65,contentful,executive-know
26,222,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.99,contentful,executive-know
26,129,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.59,contentful,executive-know
26,272,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.81,contentful,executive-know
26,381,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.96,contentful,executive-know
26,348,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.12,contentful,executive-know
26,264,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.65,contentful,executive-know
26,248,know,executive,subject,want,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive wanted his deal to have gone through?,intransitive,0.5,contentful,executive-know
4,310,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.1,contentful,inspector-convince
4,419,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.21,contentful,inspector-convince
4,107,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.68,contentful,inspector-convince
4,359,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.18,contentful,inspector-convince
4,408,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.7,contentful,inspector-convince
4,259,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.5,contentful,inspector-convince
4,286,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.51,contentful,inspector-convince
4,376,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.4,contentful,inspector-convince
4,174,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.24,contentful,inspector-convince
4,199,convince,inspector,object,want,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner wanted the thief to have taken the ring?,transitive,0.5,contentful,inspector-convince
28,189,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.75,contentful,inspector-convince
28,231,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.65,contentful,inspector-convince
28,323,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.24,contentful,inspector-convince
28,410,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.53,contentful,inspector-convince
28,250,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.03,contentful,inspector-convince
28,350,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.01,contentful,inspector-convince
28,327,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.24,contentful,inspector-convince
28,141,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.33,contentful,inspector-convince
28,342,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.09,contentful,inspector-convince
28,116,convince,inspector,object,want,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner wanted the thief to take the ring?,transitive,0.19,contentful,inspector-convince
