"verb","polarity","tense","elpd_loo","p_loo","looic","se_elpd_loo","se_p_loo","se_looic"
apologize,negative,future,61.3502477185614,4.25945394055321,-122.700495437123,19.5642934503501,0.961796238515742,39.1285869007001
apologize,negative,past,48.2753649428516,3.91018534135709,-96.5507298857032,16.1860617381264,1.37892989243954,32.3721234762527
apologize,positive,future,73.1962402918155,4.50303611284555,-146.392480583631,20.81507281772,1.9335704850441,41.6301456354399
apologize,positive,past,68.9102762187803,1.89608935182897,-137.820552437561,22.8447584022233,0.263002948122305,45.6895168044466
boast,negative,future,52.3868950080983,6.69542795889479,-104.773790016197,16.5549976616497,2.31420106726811,33.1099953232994
boast,negative,past,44.7813528489648,6.90495702844948,-89.5627056979295,16.5160665401389,2.458012882261,33.0321330802779
boast,positive,future,109.980990244715,5.24646828451044,-219.96198048943,23.3818683369483,1.81309470729475,46.7637366738966
boast,positive,past,73.7060421864819,7.7922590457001,-147.412084372964,22.9969461728524,2.72437793592382,45.9938923457049
complain,negative,future,14.7490810601846,6.60133428951687,-29.4981621203691,9.42258937960129,3.17475608920992,18.8451787592026
complain,negative,past,56.7774163575687,5.24812135993646,-113.554832715137,18.6073892487884,1.13021558579003,37.2147784975768
complain,positive,future,46.3262542496333,13.1232560181114,-92.6525084992665,17.6116821534501,4.02263328152477,35.2233643069002
complain,positive,past,44.7464551811668,6.21693634775821,-89.4929103623336,24.2055902501007,2.54746151778326,48.4111805002014
congratulate,negative,future,43.1899527583945,5.25285118538726,-86.379905516789,16.7335344534463,2.5259102579245,33.4670689068926
congratulate,negative,past,77.8410478479127,5.4060291101944,-155.682095695825,20.4580580833784,1.44460568592759,40.9161161667567
congratulate,positive,future,39.9265670544579,6.0493181558621,-79.8531341089159,15.2087157771617,1.89830330534695,30.4174315543234
congratulate,positive,past,59.7464924345867,5.84891982870431,-119.492984869173,22.6522427546595,2.56983523568674,45.3044855093191
convince,negative,future,43.4523362069404,3.20922993379755,-86.9046724138808,15.7075942814837,1.00893386195706,31.4151885629675
convince,negative,past,41.7519011382838,3.51536560044286,-83.5038022765677,16.1258692893518,0.811335391746852,32.2517385787037
convince,positive,future,54.3386602629279,2.64391448816312,-108.677320525856,16.6799736583859,0.653068130344926,33.3599473167718
convince,positive,past,41.5610531776314,2.76879215789729,-83.1221063552628,20.8276258811107,1.14728134559823,41.6552517622214
disprove,negative,future,47.3525952222248,5.18947255988547,-94.7051904444496,16.9314422356447,2.48952259383023,33.8628844712895
disprove,negative,past,52.9549261150499,4.59907406657448,-105.9098522301,18.7650941333408,2.80154403768055,37.5301882666815
disprove,positive,future,31.2424574885384,5.02988300805336,-62.4849149770767,12.7332074209367,1.57176322408025,25.4664148418733
disprove,positive,past,35.1235320440951,3.57642826017143,-70.2470640881902,21.9846448200923,1.40484518980003,43.9692896401845
dissuade,negative,future,55.4788764903789,7.54038194417459,-110.957752980758,17.2985952279057,2.69581399912016,34.5971904558115
dissuade,negative,past,16.6511489123167,4.31160776380582,-33.3022978246334,10.614398304081,1.26336502468179,21.228796608162
dissuade,positive,future,35.6163200741958,10.5913022080758,-71.2326401483917,14.0217476978577,3.96814579301685,28.0434953957154
dissuade,positive,past,20.3087265133297,5.19762388774305,-40.6174530266593,18.780940940066,1.86028000786725,37.561881880132
doubt,negative,future,88.3051360972669,2.77040872825187,-176.610272194534,20.5050650629709,0.591286195145358,41.0101301259419
doubt,negative,past,61.5775653501681,3.94849562517808,-123.155130700336,18.1387887841231,1.39127343727791,36.2775775682462
doubt,positive,future,61.4391526916051,3.96631003385522,-122.87830538321,19.2388291390879,1.04267499748695,38.4776582781758
doubt,positive,past,21.877778441104,1.73851554285372,-43.7555568822081,18.8868783998331,0.194646500747793,37.7737567996662
fear,negative,future,53.6171040667607,4.51146590826592,-107.234208133521,16.9891946471755,1.71792803419119,33.978389294351
fear,negative,past,75.1003414177223,4.95883453570639,-150.200682835445,21.0210471872209,1.33094195283585,42.0420943744418
fear,positive,future,107.843106733728,2.6016418444674,-215.686213467456,23.0502870395348,0.533329908332547,46.1005740790696
fear,positive,past,68.2018559904282,4.18190995705181,-136.403711980856,23.802750206282,1.28385733875299,47.6055004125639
hate,negative,future,61.5104437304163,3.87516503744819,-123.020887460833,19.5247858553574,1.57894347477001,39.0495717107148
hate,negative,past,27.3829030679823,1.56908196003544,-54.7658061359646,12.730189947922,0.343363089482602,25.4603798958441
hate,positive,future,167.250112917543,3.28108956068666,-334.500225835086,24.5791206976345,0.743817960714856,49.158241395269
hate,positive,past,114.849248429402,4.81110353010087,-229.698496858805,21.9362139907865,1.17649613577383,43.872427981573
hope,negative,future,71.1066341855366,3.95371875454532,-142.213268371073,19.9095616590143,1.06220062630521,39.8191233180287
hope,negative,past,76.8563419279241,5.13833650405473,-153.712683855848,21.8906891133804,1.5947267374921,43.7813782267608
hope,positive,future,140.654825197069,4.85452129544944,-281.309650394139,24.8141409994489,1.71529807492563,49.6282819988979
hope,positive,past,99.0898396391945,7.26270310627593,-198.179679278389,23.2261242403587,2.50418420349241,46.4522484807174
know,negative,future,57.6306944107262,2.62964115333574,-115.261388821452,17.527916066483,0.694783288011308,35.0558321329661
know,negative,past,32.1893825788676,3.51991359264946,-64.3787651577351,15.2209754290034,0.830518449444869,30.4419508580068
know,positive,future,68.1683005461407,4.89478260778595,-136.336601092281,18.9398122546914,0.998674936696519,37.8796245093829
know,positive,past,62.4287555234133,1.84915348095945,-124.857511046827,25.0704486481676,0.203658408599275,50.1408972963351
lie,negative,future,32.8268079080291,4.92625076795678,-65.6536158160582,13.9806814069073,1.87526349302295,27.9613628138145
lie,negative,past,53.1808175075166,4.43909768593464,-106.361635015033,18.0064526587472,1.17960198277022,36.0129053174945
lie,positive,future,4.37897783555412,5.1368334745538,-8.75795567110824,7.91678180370162,1.80650893657753,15.8335636074032
lie,positive,past,27.6389066072668,5.8565497063748,-55.2778132145337,23.4488141035677,3.08631511506883,46.8976282071354
like,negative,future,93.0755129585411,2.88835048266282,-186.151025917082,23.1424387014577,0.687812338869021,46.2848774029153
like,negative,past,155.902737367843,4.92448830410649,-311.805474735685,26.335498333352,2.24806107788013,52.6709966667039
like,positive,future,138.065921631861,4.27163759482992,-276.131843263722,24.7763337829679,1.19668651889445,49.5526675659359
like,positive,past,76.1668274515071,8.54034996893144,-152.333654903014,23.7853972955942,3.15431352676612,47.5707945911883
love,negative,future,98.0396869966542,3.11875272051955,-196.079373993308,23.4435949335607,0.821458272198275,46.8871898671215
love,negative,past,104.547335318298,3.14237299358539,-209.094670636595,22.3782585094131,0.648623475386522,44.7565170188263
love,positive,future,116.173716697758,4.3809308110338,-232.347433395516,22.8239298249902,1.22844614148508,45.6478596499804
love,positive,past,103.164431552374,8.79870225819494,-206.328863104748,23.3761555299862,5.68751187946807,46.7523110599724
mislead,negative,future,88.9481155983139,4.56735642288042,-177.896231196628,19.3206858219575,1.04929657524313,38.6413716439151
mislead,negative,past,41.8432171023009,3.40774123014244,-83.6864342046019,15.8618399887887,0.850418147399609,31.7236799775774
mislead,positive,future,29.2376587180036,5.3621009608483,-58.4753174360072,15.0181912677364,1.49620895592776,30.0363825354727
mislead,positive,past,-5.82792081898975,7.07565363545473,11.6558416379795,17.5820127937759,2.10426540193487,35.1640255875518
notify,negative,future,31.109124265249,6.92594894408453,-62.2182485304981,14.6842806876548,1.98960400529638,29.3685613753095
notify,negative,past,12.8112544143214,4.8988495579066,-25.6225088286429,9.71864125280649,2.20876063189696,19.437282505613
notify,positive,future,50.7722378332916,2.35513227660374,-101.544475666583,16.1583908196956,0.553766641097084,32.3167816393912
notify,positive,past,19.0429405812122,1.43232286233594,-38.0858811624245,16.2075859026519,0.135615127069201,32.4151718053039
persuade,negative,future,20.2508844197008,4.13196617785666,-40.5017688394015,11.6737208959843,1.95000128137969,23.3474417919686
persuade,negative,past,28.455014221933,2.34569638805397,-56.9100284438659,14.374604472655,0.443876258504609,28.7492089453101
persuade,positive,future,30.1809438846114,8.34278018607782,-60.3618877692228,13.7907015235121,3.46720524548026,27.5814030470241
persuade,positive,past,43.7795049723745,1.72961745052039,-87.559009944749,20.5520130112438,0.259123073535603,41.1040260224876
regret,negative,future,28.5755002346689,1.70998607621959,-57.1510004693377,12.9339295185972,0.347528953427644,25.8678590371943
regret,negative,past,83.4971710375765,5.71922393853021,-166.994342075153,21.4278966977083,1.99992823867159,42.8557933954166
regret,positive,future,124.6810401384,3.8517433712928,-249.362080276801,26.4715099598656,0.873293985767412,52.9430199197312
regret,positive,past,47.0825650328681,9.69529810082578,-94.1651300657361,21.8112808673052,2.95366054134425,43.6225617346104
remember,negative,future,56.438384013088,1.49967194840329,-112.876768026176,17.3905105390874,0.378014787605689,34.7810210781749
remember,negative,past,53.5542624854142,2.65239652912759,-107.108524970828,18.8534999502156,0.800487295269723,37.7069999004311
remember,positive,future,53.8530806746335,7.06580060921778,-107.706161349267,15.4020445784893,3.38880791159634,30.8040891569786
remember,positive,past,73.8439844397403,1.56560296061397,-147.687968879481,23.0285969338106,0.294283949117048,46.0571938676213
tell,negative,future,20.2409655912874,2.32978363793589,-40.4819311825747,11.9971088038491,0.541756137134997,23.9942176076982
