listid,participant,verb,subject,consequent,valence,question,response,task,scenario
2,26,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.14,norming,mechanic-notify
2,51,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.5,norming,mechanic-notify
2,88,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.96,norming,mechanic-notify
2,19,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.5,norming,mechanic-notify
2,25,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.18,norming,mechanic-notify
2,84,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.78,norming,mechanic-notify
2,47,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.99999,norming,mechanic-notify
2,74,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.75,norming,mechanic-notify
2,63,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.15,norming,mechanic-notify
2,62,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.76,norming,mechanic-notify
2,90,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.16,norming,mechanic-notify
2,85,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.5,norming,mechanic-notify
2,1,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.56,norming,mechanic-notify
2,37,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.67,norming,mechanic-notify
2,83,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.6,norming,mechanic-notify
2,18,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.1,norming,mechanic-notify
2,44,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.4,norming,mechanic-notify
2,98,notify,mechanic,believe,negative,What proportion of mechanics generally believe that carburetors will have leaks?,0.23,norming,mechanic-notify
