"verb","polarity","tense","best_model","elpd_diff","se_elpd_diff"
"worry","positive","past","slopes","-11.0824243096667","4.43847666364711"
"worry","positive","future","slopes","-14.4312106989494","7.82626391521129"
"worry","negative","past","slopes","-6.11171468185537","1.6867502057962"
"worry","negative","future","slopes","-1.01527443084336","2.8270744454456"
"wish","positive","past","slopes","-1.77072334062821","5.71520233292275"
"wish","positive","future","slopes","-10.9381375264577","3.2705564271664"
"wish","negative","past","slopes","-6.78298042181654","4.21531496526347"
"wish","negative","future","slopes","-14.6138972772142","4.06038665357443"
"think","positive","past","slopes","-2.37823543363109","1.99517591843537"
"think","positive","future","slopes","-2.65519978390737","2.60470555231388"
"think","negative","past","slopes","-2.52783361882348","2.36449975734036"
"think","negative","future","slopes","-3.33073885497036","2.04760038050278"
"tell","positive","past","slopes","-3.96934563140049","2.15036278696887"
"tell","positive","future","slopes","-1.20028570105937","2.05443383032769"
"tell","negative","past","slopes","-6.75367449961002","3.26749106133083"
"tell","negative","future","slopes","-12.7698110701715","3.2079249186882"
"remember","positive","past","slopes","-0.70137032121657","2.40071974891244"
"remember","positive","future","slopes","-4.81722649260144","1.62806893978504"
"remember","negative","past","slopes","-8.72151614149219","2.43754425370424"
"remember","negative","future","slopes","-6.22977663523311","2.02091457554268"
"regret","positive","past","slopes","-22.826354942355","6.16010523520925"
"regret","positive","future","slopes","-14.8082317205568","5.35783760182037"
"regret","negative","past","slopes","-1.80993653277973","6.19408393387748"
"regret","negative","future","slopes","-14.4042626224067","3.42156341789136"
"persuade","positive","past","intercepts","-0.0991983698661503","3.53615447807895"
"persuade","positive","future","intercepts","-5.34335808933493","5.8859908480501"
"persuade","negative","past","slopes","-10.6233015860414","2.62922676218875"
"persuade","negative","future","slopes","-7.91356701073165","3.8089859538531"
"notify","positive","past","slopes","-6.10712594374146","1.99559573337745"
"notify","positive","future","slopes","-5.60516547255842","1.79009739003557"
"notify","negative","past","slopes","-7.66320148928848","3.45852700483265"
"notify","negative","future","slopes","-4.76196466754552","5.08414941093837"
"mislead","positive","past","slopes","-13.7876038300341","9.38292022428136"
"mislead","positive","future","slopes","-23.7788005348542","8.04876839884737"
"mislead","negative","past","slopes","-3.57199077475163","2.21979384569894"
"mislead","negative","future","slopes","-1.51111662878974","2.8162077763006"
"love","positive","past","slopes","-12.1451155193833","6.19040341186334"
"love","positive","future","slopes","-11.1721508839441","5.55773849711459"
"love","negative","past","slopes","-11.0329445830643","3.73382113200228"
"love","negative","future","slopes","-13.4138272690396","4.10865275180407"
"like","positive","past","slopes","-9.52920778318354","4.03737324844148"
"like","positive","future","slopes","-10.6946110957022","6.14236833106485"
"like","negative","past","slopes","-14.3750516413887","5.92352004203826"
"like","negative","future","slopes","-14.7083586094294","3.90665397233106"
"lie","positive","past","intercepts","-0.703196607799505","6.36102818041561"
"lie","positive","future","slopes","-31.2334155049347","6.53645751118462"
"lie","negative","past","slopes","-2.4726922304269","2.92709339130908"
"lie","negative","future","slopes","-1.7291970931764","4.80811000247983"
"know","positive","past","slopes","-0.0959134083770364","3.52244331311841"
"know","positive","future","slopes","-0.309335589831637","2.56226648458474"
"know","negative","past","slopes","-7.74563596585852","3.11430551052251"
"know","negative","future","slopes","-2.94312686264838","3.09409003650764"
"hope","positive","past","intercepts","-1.61378457546532","5.25404522174347"
"hope","positive","future","slopes","-6.07765475889892","3.21264094079294"
"hope","negative","past","slopes","-11.2249509948415","4.38063282633769"
"hope","negative","future","slopes","-5.68751061447736","3.73432797385332"
"hate","positive","past","slopes","-18.6084370424857","4.40972907434225"
"hate","positive","future","slopes","-24.0214601046013","5.34500500650246"
"hate","negative","past","slopes","-6.8661101291849","2.8306884980782"
"hate","negative","future","slopes","-7.14945437502694","2.42453647110802"
"fear","positive","past","slopes","-17.1721135504487","3.84666013433299"
"fear","positive","future","slopes","-18.4456839228054","4.79517654122092"
"fear","negative","past","slopes","-0.263008171252333","2.68906170809471"
"fear","negative","future","slopes","-2.94540483389774","2.78594381241299"
"doubt","positive","past","slopes","-6.85880689749115","3.58270053296926"
"doubt","positive","future","slopes","-7.19043682549157","4.10470982344905"
"doubt","negative","past","slopes","-1.12594224253378","3.86895156664504"
"doubt","negative","future","slopes","-4.51522151979704","2.19934928718988"
"dissuade","positive","past","slopes","-5.11669511635835","5.88889279587167"
"dissuade","positive","future","slopes","-5.01344103031664","6.24180845713767"
"dissuade","negative","past","slopes","-10.375197400563","4.12088734862808"
"dissuade","negative","future","intercepts","-0.582080855940747","4.53727235301837"
"disprove","positive","past","slopes","-5.74410316325766","4.07854852466504"
"disprove","positive","future","slopes","-5.60736549193676","4.18345203557133"
"disprove","negative","past","slopes","-16.0286229508253","5.45766196103888"
"disprove","negative","future","slopes","-2.39619480190149","3.11755516650537"
"convince","positive","past","slopes","-5.96659914417428","3.84289628902003"
"convince","positive","future","slopes","-2.50155893247641","2.22701418697185"
"convince","negative","past","slopes","-12.4211624520356","3.96968530944161"
"convince","negative","future","slopes","-8.11752466029964","2.764679185142"
"congratulate","positive","past","slopes","-7.05804036005653","4.90627275186438"
"congratulate","positive","future","slopes","-5.68061447497189","4.67831277885261"
"congratulate","negative","past","intercepts","-0.289597418281876","3.48697524911088"
"congratulate","negative","future","slopes","-3.25920516507728","6.00210805514614"
"complain","positive","past","slopes","-7.89924888465945","6.20752291217276"
"complain","positive","future","slopes","-8.82638479227644","6.98797437549244"
"complain","negative","past","intercepts","-1.6705090616158","2.84100583421778"
"complain","negative","future","slopes","-9.04040440130068","3.30805284866137"
"boast","positive","past","slopes","-17.1483335814769","4.5527746637577"
"boast","positive","future","slopes","-10.3876068347342","6.0494255833838"
"boast","negative","past","intercepts","-0.73249601740858","3.3805441004711"
"boast","negative","future","intercepts","-3.11055267391195","5.74915303902059"
"apologize","positive","past","slopes","-7.59802872576407","2.74785784193234"
"apologize","positive","future","slopes","-5.20497641396312","3.47086391256074"
"apologize","negative","past","slopes","-11.224886164625","3.61024010246113"
"apologize","negative","future","slopes","-4.18333651327401","2.70300882356117"
