"verb","polarity","tense","elpd_loo","p_loo","looic","se_elpd_loo","se_p_loo","se_looic"
apologize,negative,future,10.0772314681732,1.0820990378097,-20.1544629363464,9.70452030787379,0.244197280909153,19.4090406157476
apologize,negative,past,15.5854642876961,1.39843174496054,-31.1709285753923,12.9270928852694,0.285460762711953,25.8541857705388
apologize,positive,future,31.2704967388179,2.77910951577117,-62.5409934776357,15.8912183342445,0.739585038212949,31.7824366684891
apologize,positive,past,41.4072607956126,2.86140491265579,-82.8145215912251,17.1734484889726,0.847084433673855,34.3468969779452
boast,negative,future,12.0041248671813,2.18414050770319,-24.0082497343626,9.65136661838371,0.745812566247623,19.3027332367674
boast,negative,past,52.0332166588094,5.3797309983753,-104.066433317619,18.6951636640517,1.44115956375357,37.3903273281034
boast,positive,future,92.989503062175,2.41387287458641,-185.97900612435,22.0174089057834,0.979500723425335,44.0348178115668
boast,positive,past,131.926265665293,1.00674562938036,-263.852531330586,24.3661008699943,0.13611575875714,48.7322017399886
complain,negative,future,16.9341039270318,4.30080186934891,-33.8682078540637,10.3775346966287,1.91409238174369,20.7550693932573
complain,negative,past,29.0872284153866,4.32423498051876,-58.1744568307733,12.4443760865781,1.56970416279163,24.8887521731561
complain,positive,future,72.0424467483343,3.51822280924693,-144.084893496669,19.4219479964008,0.927153548702681,38.8438959928015
complain,positive,past,111.771437179559,2.3128522970294,-223.542874359118,22.7946203211746,0.691763173248553,45.5892406423492
congratulate,negative,future,21.1755556893935,1.65362080278243,-42.351111378787,13.1974557810096,0.47329247071136,26.3949115620193
congratulate,negative,past,4.51080471979238,2.7534149127752,-9.02160943958475,7.59295630851201,0.919071412094053,15.185912617024
congratulate,positive,future,40.1254745921614,2.18951817720609,-80.2509491843228,15.8368114208484,0.594796689854152,31.6736228416968
congratulate,positive,past,72.9244923580855,1.50060397475602,-145.848984716171,19.5594375865684,0.386778497747336,39.1188751731368
convince,negative,future,35.2108193279557,3.37409989338591,-70.4216386559114,16.0721920903226,1.03707366499379,32.1443841806452
convince,negative,past,31.9170163954685,2.87633700122467,-63.834032790937,14.4783255332031,0.99916102604015,28.9566510664061
convince,positive,future,71.6823116936475,2.87817828072317,-143.364623387295,22.0947906924201,0.954388305922049,44.1895813848403
convince,positive,past,74.6193246029692,1.24418514056601,-149.238649205938,20.9727769297473,0.229387201419259,41.9455538594945
disprove,negative,future,27.1223928967159,1.53827983612788,-54.2447857934317,15.9081364625253,0.398891956955637,31.8162729250507
disprove,negative,past,48.9612130114119,2.03293302612936,-97.9224260228237,18.3306851157102,0.375917101557843,36.6613702314204
disprove,positive,future,40.3455725640039,7.43857878525629,-80.6911451280079,13.9638072548114,2.28444324340842,27.9276145096229
disprove,positive,past,31.3637920853243,7.03797866258696,-62.7275841706486,13.6728277615806,2.63595388276913,27.3456555231613
dissuade,negative,future,19.1568925316512,1.86692270497867,-38.3137850633023,13.4818985199615,0.524153247037172,26.963797039923
dissuade,negative,past,53.4010511991377,4.93428576152012,-106.802102398275,20.0805833638851,1.41211967929748,40.1611667277702
dissuade,positive,future,28.0801748522043,11.8979677791797,-56.1603497044086,17.3331101243705,5.40288131222812,34.6662202487409
dissuade,positive,past,13.6401588620271,4.92562747699204,-27.2803177240542,12.1338303017373,1.39230813036018,24.2676606034746
doubt,negative,future,131.629823621813,3.28646554929402,-263.259647243626,22.5559432904743,1.37057169489159,45.1118865809486
doubt,negative,past,151.530138474537,2.17463302826961,-303.060276949074,24.0078343366896,0.50423465904893,48.0156686733792
doubt,positive,future,26.4665595110966,1.91708594428613,-52.9331190221932,12.1321437257521,0.480982309088212,24.2642874515042
doubt,positive,past,61.2465702815712,1.69029128389617,-122.493140563142,19.6377360682832,0.516792295985781,39.2754721365664
fear,negative,future,32.0098360731457,2.52989682895112,-64.0196721462913,11.2574095116156,1.10960344880452,22.5148190232313
fear,negative,past,69.1955083427335,11.6795915804887,-138.391016685467,18.4652126670354,3.52458558342487,36.9304253340708
fear,positive,future,37.9943764140463,3.65752007244123,-75.9887528280925,15.953320870917,0.981302474875611,31.9066417418341
fear,positive,past,18.4583716071481,2.20268533836802,-36.9167432142962,12.0977839563009,0.815258178003576,24.1955679126018
hate,negative,future,34.9235848249374,1.64096511225742,-69.8471696498749,15.1087115512573,0.39266863498289,30.2174231025146
hate,negative,past,100.39933079602,3.57762804300412,-200.79866159204,22.8070121245755,0.954656883085041,45.6140242491511
hate,positive,future,55.6294599519934,4.95130233101386,-111.258919903987,18.9885997310649,1.43705188644745,37.9771994621298
hate,positive,past,127.692116721191,2.05294269510822,-255.384233442383,25.3619666420671,0.57783769456353,50.7239332841341
hope,negative,future,6.73320006868257,1.33569283265309,-13.4664001373651,9.1596822467509,0.542655907099913,18.3193644935018
hope,negative,past,4.98074366257866,3.68104457768647,-9.96148732515731,8.24068914249625,1.57463375996051,16.4813782849925
hope,positive,future,-0.193967471960583,10.9509921919754,0.387934943921167,9.28212340428138,6.36974197481616,18.5642468085628
hope,positive,past,-7.80670960032895,0.889802824900999,15.6134192006579,3.16377409999304,0.317363506333379,6.32754819998609
know,negative,future,52.736668599946,4.60793620445194,-105.473337199892,19.9065000738679,3.0085715329696,39.8130001477359
know,negative,past,54.7773926134256,2.28872117866796,-109.554785226851,19.164932432786,0.473080225176087,38.329864865572
know,positive,future,122.896989926795,1.81789718388806,-245.793979853589,24.8509594978274,0.308475781910688,49.7019189956547
know,positive,past,153.764203438299,1.27802115731877,-307.528406876597,25.0541093905538,0.339469038508182,50.1082187811077
lie,negative,future,31.4384900646863,1.80601134950065,-62.8769801293726,14.8894641303394,0.575461754320945,29.7789282606787
lie,negative,past,32.3154304408682,9.95579871974632,-64.6308608817363,16.0685172950842,3.25139763608739,32.1370345901683
lie,positive,future,76.3029248080187,4.44046825941963,-152.605849616037,19.7770878970032,0.910320618601764,39.5541757940064
lie,positive,past,101.378383162253,6.35680099048917,-202.756766324506,23.8626255153542,1.92497539820898,47.7252510307084
like,negative,future,75.8766803541145,4.76729273535587,-151.753360708229,20.6283081064857,1.99019561308965,41.2566162129713
like,negative,past,117.734302955245,5.11713861641464,-235.468605910489,24.9165216381133,1.83455631653051,49.8330432762266
like,positive,future,57.4970895560248,1.82214131968302,-114.99417911205,19.9250482394841,0.299912402792183,39.8500964789683
like,positive,past,87.2644782261513,1.21282443095924,-174.528956452303,22.5455679214702,0.16595969419979,45.0911358429403
love,negative,future,8.92178632022232,3.37001660559615,-17.8435726404446,9.73135474063585,1.27678149410691,19.4627094812717
love,negative,past,87.91650606725,3.00136428036313,-175.8330121345,23.2428212575654,0.522115783376467,46.4856425151308
love,positive,future,84.0988161029227,1.79104237005128,-168.197632205845,21.5200115752521,0.417311697827832,43.0400231505042
love,positive,past,85.8775392252881,1.1683730608712,-171.755078450576,21.2531702494874,0.236612587459547,42.5063404989747
mislead,negative,future,65.1407768084495,4.63277185635888,-130.281553616899,17.3343157235355,1.16842161652288,34.6686314470711
mislead,negative,past,51.2931835584312,5.72634883209868,-102.586367116862,19.5150707402788,1.8229937364081,39.0301414805577
mislead,positive,future,12.7703263141349,6.69486315840015,-25.5406526282697,11.0783382066534,2.34563298083368,22.1566764133069
mislead,positive,past,34.3112631769976,6.98320135660564,-68.6225263539952,13.5960297444237,2.13162033370107,27.1920594888474
notify,negative,future,5.06094805178899,1.75318041976406,-10.121896103578,9.06626761428591,0.448532478406184,18.1325352285718
notify,negative,past,27.1390149470438,7.44930470985388,-54.2780298940877,14.3194581915016,2.80426059158085,28.6389163830033
notify,positive,future,127.706956860459,3.34127292785561,-255.413913720917,22.3117737073706,1.57294166079361,44.6235474147411
notify,positive,past,120.496691907813,2.11379154404913,-240.993383815626,23.6210756645021,1.06934821846338,47.2421513290042
persuade,negative,future,27.1320490690922,1.93539700744606,-54.2640981381843,13.136679476242,0.608612974958545,26.273358952484
