"verb","polarity","tense","best_model","elpd_diff","se_elpd_diff"
"worry","positive","past","slopes","-2.15836392415404","0.678416136132477"
"worry","positive","future","slopes","-1.73820076201861","0.774666170397714"
"worry","negative","past","slopes","-1.42299269031637","0.453327689952237"
"worry","negative","future","slopes","-0.273585028759802","1.05238527053524"
"wish","positive","past","intercepts","-0.914460990223547","1.51224647221145"
"wish","positive","future","slopes","-1.2491707616576","0.524510424482096"
"wish","negative","past","slopes","-1.51983765665621","0.4588803769099"
"wish","negative","future","slopes","-1.11959737449876","0.812498459748815"
"think","positive","past","intercepts","-0.224872953236078","0.981684492942881"
"think","positive","future","slopes","-1.08075697834674","0.376550021284092"
"think","negative","past","intercepts","-0.146510960745012","0.572306791623777"
"think","negative","future","slopes","-0.741750131128465","0.423213089903767"
"tell","positive","past","slopes","-0.506176820357789","0.603983714210837"
"tell","positive","future","slopes","-1.05605450406583","0.501592892589881"
"tell","negative","past","slopes","-0.932986241084763","1.19279466754509"
"tell","negative","future","slopes","-1.85022189517377","1.00696436066625"
"remember","positive","past","slopes","-1.10334625719453","0.448353266986865"
"remember","positive","future","slopes","-0.379389253694132","0.410801109425453"
"remember","negative","past","slopes","-1.3407743094009","0.502992058586331"
"remember","negative","future","slopes","-1.49667787351767","0.761458947628527"
"regret","positive","past","intercepts","-0.0337076849288413","0.601989475178511"
"regret","positive","future","slopes","-0.69908846271027","0.891164334002541"
"regret","negative","past","slopes","-0.471291768598089","0.542573836070341"
"regret","negative","future","slopes","-1.58322844500578","0.277771705150219"
"persuade","positive","past","intercepts","-1.5173185564981","1.13741622976408"
"persuade","positive","future","intercepts","-0.37570293925107","1.41434625039105"
"persuade","negative","past","slopes","-1.00647539951311","0.786219199591838"
"persuade","negative","future","slopes","-0.569217033252078","0.793221897565112"
"notify","positive","past","intercepts","-0.0767417589206089","0.918329752203427"
"notify","positive","future","slopes","-0.567980654399756","0.579910994451271"
"notify","negative","past","intercepts","-0.650347085918489","0.972632746072218"
"notify","negative","future","slopes","-0.79441240352267","0.570257639521798"
"mislead","positive","past","intercepts","-5.13134082438694","1.79876699296925"
"mislead","positive","future","intercepts","-0.978831177262469","0.929144787662287"
"mislead","negative","past","intercepts","-1.08825145706913","0.895713200503916"
"mislead","negative","future","slopes","-1.42865694957692","0.617417904714262"
"love","positive","past","slopes","-0.752454579390327","0.654678316324474"
"love","positive","future","slopes","-0.842394265780796","0.396862188080064"
"love","negative","past","slopes","-0.757900476626358","0.41013833209782"
"love","negative","future","slopes","-1.04417873060983","0.510973504165142"
"like","positive","past","slopes","-1.78642891493892","1.17645059974206"
"like","positive","future","slopes","-0.118275690048621","0.789513097960423"
"like","negative","past","intercepts","-0.671851043749447","0.646303934505767"
"like","negative","future","slopes","-0.425973960390172","1.08105390742928"
"lie","positive","past","intercepts","-5.18671201712717","2.42579512335819"
"lie","positive","future","intercepts","-0.966511305115562","1.53057704049455"
"lie","negative","past","intercepts","-2.2762133617236","1.97189760862583"
"lie","negative","future","slopes","-0.887465673402521","0.514318973028755"
"know","positive","past","slopes","-0.563609161181515","0.709346190466772"
"know","positive","future","slopes","-1.89402022080722","0.699612071336702"
"know","negative","past","intercepts","-0.602099138337467","0.864704897718937"
"know","negative","future","slopes","-0.82170312318347","0.753798991822698"
"hope","positive","past","slopes","-1.97826376778311","0.205300388499331"
"hope","positive","future","slopes","-1.51791446731673","0.411719668397025"
"hope","negative","past","slopes","-1.44771700767517","0.442159638239611"
"hope","negative","future","slopes","-2.26859970431213","0.292365869093153"
"hate","positive","past","intercepts","-0.624143339972598","1.05542024561606"
"hate","positive","future","intercepts","-0.0979396692901931","0.615235822366392"
"hate","negative","past","slopes","-1.12698165481616","0.748399362548363"
"hate","negative","future","slopes","-1.65637883293881","0.608086544659221"
"fear","positive","past","slopes","-0.524430274590819","1.12182383398539"
"fear","positive","future","slopes","-2.85599049198217","0.728763157107811"
"fear","negative","past","slopes","-1.01900970017481","2.69748103425598"
"fear","negative","future","slopes","-1.09465474553374","0.676833200784678"
"doubt","positive","past","slopes","-1.60039302728623","0.465692109270997"
"doubt","positive","future","slopes","-0.637941428996514","0.743332115795054"
"doubt","negative","past","slopes","-0.891653537552781","1.39731595637861"
"doubt","negative","future","slopes","-0.9223119342893","0.711629075956972"
"dissuade","positive","past","slopes","-0.0283431808489481","0.621436098186489"
"dissuade","positive","future","intercepts","-2.25500299891797","1.49801726144549"
"dissuade","negative","past","intercepts","-0.0721647754007221","1.0955347064734"
"dissuade","negative","future","intercepts","-2.28349538494766","2.71700285127658"
"disprove","positive","past","intercepts","-4.0854409151781","1.67605838534517"
"disprove","positive","future","intercepts","-1.2288548518058","1.53371433829219"
"disprove","negative","past","slopes","-0.527107027584536","0.842094389505538"
"disprove","negative","future","slopes","-0.854243226495207","1.06997043547477"
"convince","positive","past","slopes","-0.195961952864784","1.10184653372044"
"convince","positive","future","intercepts","-1.91628020501273","1.34884475076674"
"convince","negative","past","slopes","-0.365092740513631","0.600227586702316"
"convince","negative","future","slopes","-1.01287421828598","0.706481809377258"
"congratulate","positive","past","slopes","-0.516730940864516","0.446171497119693"
"congratulate","positive","future","slopes","-1.17020676488413","0.41708104106388"
"congratulate","negative","past","slopes","-1.04463695175058","0.523977360452609"
"congratulate","negative","future","slopes","-1.71764733846565","0.439039158795975"
"complain","positive","past","intercepts","-0.37538582846953","1.12918674603667"
"complain","positive","future","slopes","-1.96436070958755","0.73055693422176"
"complain","negative","past","slopes","-0.57205691886394","0.618278506555646"
"complain","negative","future","slopes","-0.526087371057479","0.84145693007808"
"boast","positive","past","slopes","-1.00116346362185","0.366281669281622"
"boast","positive","future","slopes","-1.18473666415641","0.38902042550174"
"boast","negative","past","intercepts","-0.764284895170835","1.14148604220121"
"boast","negative","future","slopes","-0.930278981765994","0.829809360245036"
"apologize","positive","past","intercepts","-0.774429534150106","0.96874799932665"
"apologize","positive","future","slopes","-0.100544435418026","1.17984787671023"
"apologize","negative","past","slopes","-0.79322478584997","1.06319207046149"
"apologize","negative","future","slopes","-1.72480004763149","0.427910675128845"
