listid,participant,verb,subject,consequent,valence,question,response,task,scenario
0,96,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,1e-05,norming,mechanic-notify
0,33,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,1e-05,norming,mechanic-notify
0,2,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.17,norming,mechanic-notify
0,59,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.1,norming,mechanic-notify
0,29,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.06,norming,mechanic-notify
0,76,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.03,norming,mechanic-notify
0,20,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.4,norming,mechanic-notify
0,31,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.02,norming,mechanic-notify
0,64,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.12,norming,mechanic-notify
0,12,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.55,norming,mechanic-notify
0,30,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,1e-05,norming,mechanic-notify
0,27,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,1e-05,norming,mechanic-notify
0,34,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,1e-05,norming,mechanic-notify
0,7,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,1e-05,norming,mechanic-notify
0,50,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,1e-05,norming,mechanic-notify
0,71,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.15,norming,mechanic-notify
0,16,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.07,norming,mechanic-notify
0,49,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.7,norming,mechanic-notify
0,66,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.5,norming,mechanic-notify
0,95,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,1e-05,norming,mechanic-notify
0,15,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.42,norming,mechanic-notify
0,38,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,1e-05,norming,mechanic-notify
0,36,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.25,norming,mechanic-notify
0,45,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.38,norming,mechanic-notify
0,68,notify,mechanic,want,negative,What proportion of mechanics generally want carburetors to have leaks?,0.1,norming,mechanic-notify
2,26,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.99999,norming,dishwasher-complain
2,51,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.8,norming,dishwasher-complain
2,88,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.7,norming,dishwasher-complain
2,19,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,1e-05,norming,dishwasher-complain
2,25,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.8,norming,dishwasher-complain
2,84,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.61,norming,dishwasher-complain
2,47,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.25,norming,dishwasher-complain
2,74,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.95,norming,dishwasher-complain
2,63,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.62,norming,dishwasher-complain
2,62,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.34,norming,dishwasher-complain
2,90,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.95,norming,dishwasher-complain
2,85,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.99999,norming,dishwasher-complain
2,1,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,1e-05,norming,dishwasher-complain
2,37,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.6,norming,dishwasher-complain
2,83,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,1e-05,norming,dishwasher-complain
2,18,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,1e-05,norming,dishwasher-complain
2,44,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.99999,norming,dishwasher-complain
2,98,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.71,norming,dishwasher-complain
2,61,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.63,norming,dishwasher-complain
2,69,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.93,norming,dishwasher-complain
2,21,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.72,norming,dishwasher-complain
2,65,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.6,norming,dishwasher-complain
2,82,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.18,norming,dishwasher-complain
2,52,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.09,norming,dishwasher-complain
2,89,complain,dishwasher,want,positive,What proportion of dishwashers generally want busboys to clean the dishes?,0.65,norming,dishwasher-complain
2,26,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,51,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,88,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.01,norming,lawyer-disprove
2,19,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,25,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.21,norming,lawyer-disprove
2,84,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.02,norming,lawyer-disprove
2,47,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.15,norming,lawyer-disprove
2,74,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.1,norming,lawyer-disprove
2,63,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,62,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,90,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,85,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,1,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,37,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.32,norming,lawyer-disprove
2,83,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,18,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,44,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.15,norming,lawyer-disprove
2,98,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.01,norming,lawyer-disprove
2,61,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.17,norming,lawyer-disprove
2,69,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.06,norming,lawyer-disprove
2,21,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,65,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,82,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,1e-05,norming,lawyer-disprove
2,52,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.05,norming,lawyer-disprove
2,89,disprove,lawyer,want,negative,What proportion of juries generally want defendants to have commited murders?,0.41,norming,lawyer-disprove
0,96,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,33,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,2,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,0.42,norming,sailor-complain
0,59,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,29,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,0.14,norming,sailor-complain
0,76,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,20,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,0.02,norming,sailor-complain
0,31,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,64,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,0.03,norming,sailor-complain
0,12,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,30,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,27,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,34,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,7,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,50,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,71,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,16,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,49,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,66,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,95,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,15,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,38,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,1e-05,norming,sailor-complain
0,36,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,0.04,norming,sailor-complain
0,45,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,0.07,norming,sailor-complain
0,68,complain,sailor,want,negative,What proportion of sailors generally want the decks to flood?,0.02,norming,sailor-complain
2,26,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,1e-05,norming,doctor-think
2,51,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,0.1,norming,doctor-think
2,88,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,0.9,norming,doctor-think
2,19,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,1e-05,norming,doctor-think
2,25,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,0.14,norming,doctor-think
2,84,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,0.01,norming,doctor-think
2,47,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,1e-05,norming,doctor-think
2,74,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,0.05,norming,doctor-think
2,63,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,1e-05,norming,doctor-think
2,62,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,1e-05,norming,doctor-think
2,90,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,1e-05,norming,doctor-think
2,85,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,1e-05,norming,doctor-think
2,1,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,1e-05,norming,doctor-think
2,37,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,0.01,norming,doctor-think
2,83,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,0.33,norming,doctor-think
2,18,think,doctor,want,negative,What proportion of doctors generally want their patients to get the flu?,1e-05,norming,doctor-think
