listid,participant,verb,subject,target,consequent,polarity,tense,valence,question,transitivity,response,task,scenario
20,150,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.81,contentful,executive-know
20,188,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.17,contentful,executive-know
20,147,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.5,contentful,executive-know
20,404,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,1e-05,contentful,executive-know
20,386,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.56,contentful,executive-know
20,230,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.15,contentful,executive-know
20,153,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.59,contentful,executive-know
20,284,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.4,contentful,executive-know
20,218,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.35,contentful,executive-know
20,360,know,executive,subject,believe,negative,future,positive,The executive didn't know that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.59,contentful,executive-know
17,106,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.91,contentful,executive-know
17,402,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.87,contentful,executive-know
17,175,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.88,contentful,executive-know
17,320,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.44,contentful,executive-know
17,363,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.82,contentful,executive-know
17,326,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.99999,contentful,executive-know
17,305,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.62,contentful,executive-know
17,354,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.88,contentful,executive-know
17,207,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.75,contentful,executive-know
17,304,know,executive,subject,believe,positive,future,positive,The executive knew that his deal would go through.How likely is it that the executive believed that his deal would go through?,intransitive,0.99999,contentful,executive-know
1,288,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.14,contentful,executive-know
1,341,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.3,contentful,executive-know
1,214,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.44,contentful,executive-know
1,236,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.36,contentful,executive-know
1,197,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.55,contentful,executive-know
1,262,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.54,contentful,executive-know
1,173,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.18,contentful,executive-know
1,120,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,1e-05,contentful,executive-know
1,131,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.09,contentful,executive-know
1,298,know,executive,subject,believe,negative,past,positive,The executive didn't know that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.22,contentful,executive-know
16,132,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.93,contentful,executive-know
16,332,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.84,contentful,executive-know
16,370,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.99,contentful,executive-know
16,260,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.93,contentful,executive-know
16,276,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.99999,contentful,executive-know
16,136,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.99999,contentful,executive-know
16,185,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.82,contentful,executive-know
16,241,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.86,contentful,executive-know
16,317,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.99999,contentful,executive-know
16,102,know,executive,subject,believe,positive,past,positive,The executive knew that his deal had gone through.How likely is it that the executive believed that his deal had gone through?,intransitive,0.99999,contentful,executive-know
23,212,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.95,contentful,inspector-convince
23,111,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.5,contentful,inspector-convince
23,395,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.91,contentful,inspector-convince
23,206,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.8,contentful,inspector-convince
23,308,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.85,contentful,inspector-convince
23,330,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.99999,contentful,inspector-convince
23,200,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.93,contentful,inspector-convince
23,232,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.97,contentful,inspector-convince
23,287,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.99999,contentful,inspector-convince
23,392,convince,inspector,object,believe,positive,past,negative,The inspector convinced the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.5,contentful,inspector-convince
27,374,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.2,contentful,inspector-convince
27,238,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.67,contentful,inspector-convince
27,397,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,1e-05,contentful,inspector-convince
27,356,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.08,contentful,inspector-convince
27,198,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.28,contentful,inspector-convince
27,291,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.15,contentful,inspector-convince
27,122,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.09,contentful,inspector-convince
27,226,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.16,contentful,inspector-convince
27,401,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,1e-05,contentful,inspector-convince
27,300,convince,inspector,object,believe,negative,past,negative,The inspector didn't convince the police comissioner that the thief had taken the ring.How likely is it that the police comissioner believed that the thief had taken the ring?,transitive,0.07,contentful,inspector-convince
12,290,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.28,contentful,inspector-convince
12,335,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.91,contentful,inspector-convince
12,393,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.94,contentful,inspector-convince
12,124,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.99,contentful,inspector-convince
12,383,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.5,contentful,inspector-convince
12,258,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.69,contentful,inspector-convince
12,417,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.99999,contentful,inspector-convince
12,228,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.99999,contentful,inspector-convince
12,283,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.84,contentful,inspector-convince
12,411,convince,inspector,object,believe,positive,future,negative,The inspector convinced the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.99999,contentful,inspector-convince
26,104,convince,inspector,object,believe,negative,future,negative,The inspector didn't convince the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.38,contentful,inspector-convince
26,195,convince,inspector,object,believe,negative,future,negative,The inspector didn't convince the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.46,contentful,inspector-convince
26,176,convince,inspector,object,believe,negative,future,negative,The inspector didn't convince the police comissioner that the thief would take the ring.How likely is it that the police comissioner believed that the thief would take the ring?,transitive,0.14,contentful,inspector-convince
